# contract_addr, #patch, gas_incr, inst_incr, size_incr, orig_size
0x0000000000b3f879cb30fe243b4dfee438691c04 6 342 506 506 9402
0x00075b94bbb96c54042136c9f5d2696f6bd8792e 4 205 448 448 5108
0x000c177abc5019b3ff575a1b375bb08f5a5381af 4 183 1086 1086 8408
0x00171154525645a782ae09e8f687275b42f184bc 4 205 448 448 5108
0x001a589dda0d6be37632925eaf1256986b2c6ad0 3 213 545 545 13318
0x001cccd2a5112bb7aa4c8a74cd1c2fe946bc904a 8 661 715 715 9594
0x00259cd726e28b16a27e67ba74781b4fc0cc3d8d 21 1217 961 961 12302
0x003b160ab58a62376b6e2950e444ed28f38a8dd1 1 53 261 261 1196
0x003c9753ea43af93aedd18a959c853a58cc30fd6 4 194 294 294 3286
0x004013f5f926194894baf1247526246a6156e82c 8 569 672 672 9388
0x00430f32b8e77a456d0ab7e6f1dc1b84f4ae62e0 4 215 458 458 5856
0x004ad471e81ccca08640901b7fee9f6519afdf05 2 85 120 120 1272
0x004c1a6fc860c480e2f8e7f88418fca381707796 1 53 146 146 848
0x004c2a8d0a35f616a74ac065d857672e1a362e88 4 183 451 451 4520
0x004cae0de2ccb59fdd50d2cd633c3aeb348f20a7 3 170 281 281 7572
0x0057dee976f8c6416ac54ec6d0e1e1298f6f34fc 2 106 699 699 5370
0x005a4dd900ecc1b792f0c729342c4111426db7e0 4 236 743 743 4796
0x005e4bd860621b35afbbb17d6865bef3ef987785 4 183 1086 1086 8448
0x0064fbb3f58de455a07b674b9ef6da96553ef9be 4 205 448 448 5108
0x00674045bb7c17f0aa1cde34780d6c51af548728 5 317 169 169 12504
0x006bea43baa3f7a6f765f14f10a1a1b08334ef45 2 108 147 147 8674
0x00715784dd1a5b6654422bfa465cd657cef4e6e7 3 147 258 258 4776
0x007d42b9192b8c087b0d3e6ef73aae48e74b41c1 10 727 863 863 7016
0x007d58cf3460f44b0cd77a1997c0ee24e7f62f91 4 277 382 382 4306
0x007df6ad281cbbb9e0e9373654fe588b2bd3b9af 9 489 691 691 7126
0x007e7c474a1abb8fdc1cd012b98ca3682a09e42f 2 129 249 249 4280
0x0088fdd30f4fc7ed4b429cdb8c4d8a1d3b628935 2 117 189 189 756
0x008d3c9e91f8abff45f39eb71b316a0606c6d378 4 183 1086 1086 8408
0x008f7d90a0db1d368b8b868bfed8ea6a816eb628 1 57 91 91 2350
0x00953790af86860fa898852976f4d17685a1f0f9 2 106 284 284 2766
0x00981f95c6e865f862c470070e7d9b714152b7ca 5 361 1209 1209 15224
0x009c52205b50b32b5b6a699f017228eba6c82f9e 3 163 264 264 5756
0x009da0220bf71a5443e396c472f575d402b2d974 2 106 281 281 5080
0x009e4af7d57757215b79a6e7796d08e1ceea06f7 9 398 571 571 5844
0x00a0cbe98e4d110b0fa82646152d77babf2951d0 4 205 918 918 8892
0x00a8b7572f8dac059b1e240cde1be07073b21223 5 312 518 518 7310
0x00af57b2be5b4c7b77b87134b85dc8a2145d2580 4 183 1086 1086 8408
0x00af5860704c69ecf3dafbef4dd62fe0f284fe34 2 118 364 364 3504
0x00b12ec5eefa368f68124d25695e88e43959ab4f 4 340 411 411 17758
0x00b2153725ff92db5c2149ee3c4aae0b2092e8d9 4 183 1086 1086 8370
0x00b407a7d4a706b87d58b5f41c35b300205c3869 4 183 1086 1086 8408
0x00b49321a34ba02e7a474024724e790d2d719483 3 163 264 264 5756
0x00b9034425e357bf61b4abeb22299ec4a62c725b 5 279 910 910 11826
0x00bedfe332e4b3b3c0c622739f6153752f2f7483 3 180 225 225 3204
0x00c0a32b503e5884b9cde31f6974721e856ed496 2 110 257 257 4990
0x00c1d2bf10079b91299e2ebc869dd3fe649e6907 2 129 159 159 842
0x00c7285568ead5e7683815550c0693cce73ba457 4 311 382 382 18694
0x00d1c24be9a864ca8cfd40959a82cabd1f05e179 3 0 0 0 31264
0x00d53126139c547c7bd4f4285fc3756c2f081ab1 2 106 281 281 4302
0x00d9c4a88d400be130cbd69af805efade49b4e0f 3 192 229 229 28822
0x00dc2aa3fb053dec17e9554e0ec4b13501a27a96 3 170 295 295 8412
0x00e2d7105e82c97536306694fbf1c0df720b4821 1 53 36 36 7148
0x00eb0bde23ae753a579a6a6b4de36b9a6fc04fb2 2 106 696 696 8046
0x00f27b654d5953b0a260955c75a0432919eece98 2 182 87 87 4992
0x00f88c7f3826b09b697d3ecd2287994d3c045719 2 128 698 698 5398
0x00f90986cdd79744409f8a3c7747064afa4473b5 7 379 411 411 22288
0x0101681b18c9c799104efe28e6ef04e4b72617d6 1 96 41 41 1248
0x010be8a86d416dbcf1e18a5ad59910f12a360ec7 8 361 538 538 4868
0x010cfef6589e645793cdcd48abaf9f15435362c5 6 424 468 468 4464
0x0111e443968fae1c3bcd4d5c1e8b097a0aaefeb8 3 163 264 264 5756
0x0117761e3669cce27e5599d88e4355e027989a44 2 106 696 696 8008
0x013f66d7c5f3e3e2fbcf48681dc7c8477d5ccbc0 8 556 331 331 16270
0x0148be41180ceb38eaadc5e613773c482002789b 3 182 504 504 5092
0x014f154959e44e826c43bd73b28c3697c3ef26f0 5 331 690 690 4278
0x014f190801d1fbf45a31cd9ddd96c4815c9604ec 2 128 698 698 7952
0x0150503118e27ac541296ed8af51337eb0164e47 2 142 180 180 8068
0x01515980b257055f9678450528c03ded65902e40 0 0 16 16 6942
0x0153ee2f36e6006cc156d7e9081f439bc8ad8a1f 2 96 135 135 3030
0x0157afc453b8bfc0e820b0e236c6ca56adac7fc6 2 106 696 696 8056
0x015f0c0c669fdc20e944fbbf224e1afe9615afe9 2 106 700 700 5568
0x01617196358c14628d032f9c5f7188f2fbcafd78 2 106 696 696 8004
0x0168707139ff8306b4afb7615eaafec88069f028 2 105 127 127 7478
0x017214d55f5daac38f5f7547629f29ead7fa1c3c 3 170 281 281 7562
0x01775e424f05bd808fd19479c2192d21fc1f01d2 4 205 448 448 5108
0x017b3be10321e62a38a1df202411789e208b2f1d 3 171 843 843 9868
0x017cb105c766e5ca3c146ecaa801640fb18403fa 10 611 873 873 8226
0x017f01e0acf5a6eb5037e39b0c89ec8e1db37973 11 729 603 603 6686
0x0180a48febfb90370b289f8ddd9facdcd6e848aa 2 128 432 432 2096
0x018dee1b36470103f4d7d7fcce5bfcbf695e4ff7 4 183 1086 1086 8408
0x018dfb4ba926136326da60622d5944ed264e2277 2 130 84 84 3870
0x018f01b4cb44ed29f4d91e7e28b1c1f4abc8a060 2 106 286 286 8576
