BECToken PausableToken 264/ari
insecure_transfer IntegerOverflowAdd 18/ari	
integer_overflow_1 Overflow 14/ari	
integer_overflow_add IntegerOverflowAdd 17/ari	
integer_overflow_benign_1 IntegerOverflowBenign1 17/ari	
integer_overflow_mapping_sym_1 IntegerOverflowMappingSym1 16/ari	
integer_overflow_minimal IntegerOverflowMinimal 17/ari	
integer_overflow_mul IntegerOverflowMul 17/ari	
integer_overflow_multitx_onefunc_feasible IntegerOverflowMultiTxOneFuncFeasible 22/ari	
integer_overflow_multitx_multifunc_feasible	IntegerOverflowMultiTxMultiFuncFeasible 25/ari	
overflow_simple_add	Overflow_Add 14/ari	
overflow_single_tx IntegerOverflowSingleTransaction 18/ari 24/ari 30/ari 36/ari 42/ari 48/ari
timelock TimeLock 22/ari
token Token 20/ari 22/ari
tokensalechallenge TokenSaleChallenge 23/ari 25/ari 33/ari
